Race,Count Within Race,Overall Count,Race Population Proportion,Disparity Index
Black,999802,2976836,0.2,1.69
White,1806271,2976836,0.69,0.87
Hispanic,195536,2976836,0.1,0.67
Asian or Pacific Islander,55392,2976836,0.07,0.27
